Detector, Extractor,Mean, Cemera based TTC,,,,,,,,,,,
SHITOMASI,BRISK,,10.2478,,,,,,,,,,,
SHITOMASI,BRISK,,10.347,,,,,,,,,,,
SHITOMASI,BRISK,,12.5689,,,,,,,,,,,
SHITOMASI,BRISK,,11.0733,,,,,,,,,,,
------------------------------------------------,,14.5623,39.39962832,,,,,,,,,,,
SHITOMASI,BRIEF,,13.6954,,,,,,,,,,,
SHITOMASI,BRIEF,,13.0387,,,,,,,,,,,
SHITOMASI,BRIEF,,12.0672,,,,,,,,,,,
SHITOMASI,BRIEF,,13.0335,,,,,,,,,,,
SHITOMASI,BRIEF,,11.8924,,,,,,,,,,,
SHITOMASI,BRIEF,,22.3648,,,,,,,,,,,
SHITOMASI,BRIEF,,13.497,,,,,,,,,,,
SHITOMASI,BRIEF,,14.4704,,,,,,,,,,,
SHITOMASI,BRIEF,,12.0008,,,,,,,,,,,
SHITOMASI,BRIEF,,14.2609,,,,,,,,,,,
SHITOMASI,BRIEF,,11.4293,,,,,,,,,,,
SHITOMASI,BRIEF,,12.352,,,,,,,,,,,
SHITOMASI,BRIEF,,12.152,,,,,,,,,,,
SHITOMASI,BRIEF,,12.9138,,,,,,,,,,,
SHITOMASI,BRIEF,,11.0507,,,,,,,,,,,
SHITOMASI,BRIEF,,11.8542,,,,,,,,,,,
SHITOMASI,BRIEF,,11.8855,,,,,,,,,,,
SHITOMASI,BRIEF,,10.0181,,,,,,,,,,,
------------------------------------------------,,12.99870556,6.71411183,,,,,,,,,,,
SHITOMASI,FREAK,,13.813,,,,,,,,,,,
SHITOMASI,FREAK,,13.0249,,,,,,,,,,,
SHITOMASI,FREAK,,12.0507,,,,,,,,,,,
SHITOMASI,FREAK,,12.5351,,,,,,,,,,,
SHITOMASI,FREAK,,12.0934,,,,,,,,,,,
SHITOMASI,FREAK,,39.1118,,,,,,,,,,,
SHITOMASI,FREAK,,13.3192,,,,,,,,,,,
SHITOMASI,FREAK,,13.9733,,,,,,,,,,,
SHITOMASI,FREAK,,12.2047,,,,,,,,,,,
SHITOMASI,FREAK,,14.635,,,,,,,,,,,
SHITOMASI,FREAK,,11.2038,,,,,,,,,,,
SHITOMASI,FREAK,,12.6801,,,,,,,,,,,
SHITOMASI,FREAK,,12.439,,,,,,,,,,,
SHITOMASI,FREAK,,12.0411,,,,,,,,,,,
SHITOMASI,FREAK,,10.7245,,,,,,,,,,,
SHITOMASI,FREAK,,10.2644,,,,,,,,,,,
SHITOMASI,FREAK,,11.8169,,,,,,,,,,,
SHITOMASI,FREAK,,11.0733,,,,,,,,,,,
------------------------------------------------,,13.83356667,41.0947664,,,,,,,,,,,
FAST,SIFT,,12.3974,,,,,,,,,,,
FAST,SIFT,,11.8439,,,,,,,,,,,
FAST,SIFT,,24.9911,,,,,,,,,,,
FAST,SIFT,,14.2854,,,,,,,,,,,
FAST,SIFT,,372.474,,,,,,,,,,,
FAST,SIFT,,14.1576,,,,,,,,,,,
FAST,SIFT,,13.3198,,,,,,,,,,,
FAST,SIFT,,12.7603,,,,,,,,,,,
FAST,SIFT,,13.2738,,,,,,,,,,,
FAST,SIFT,,12.5921,,,,,,,,,,,
FAST,SIFT,,14.3108,,,,,,,,,,,
FAST,SIFT,,12.1692,,,,,,,,,,,
FAST,SIFT,,12.5624,,,,,,,,,,,
FAST,SIFT,,13.0112,,,,,,,,,,,
FAST,SIFT,,11.7805,,,,,,,,,,,
FAST,SIFT,,12.1996,,,,,,,,,,,
FAST,SIFT,,11.0742,,,,,,,,,,,
FAST,SIFT,,12.0433,,,,,,,,,,,
------------------------------------------------,,33.40258889,7169.823921,,,,,,,,,,,
