Detector, Extractor,Mean, Cemera based TTC,,,,,,,,,,,
AKAZE,BRISK,,14.0177,,,,,,,,,,,
AKAZE,BRISK,,12.524,,,,,,,,,,,
AKAZE,BRISK,,11.7128,,,,,,,,,,,
AKAZE,BRISK,,13.4686,,,,,,,,,,,
AKAZE,BRISK,,11.487,,,,,,,,,,,
AKAZE,BRISK,,10.1455,,,,,,,,,,,
AKAZE,BRISK,,9.13513,,,,,,,,,,,
------------------------------------------------,,14.64627944,10.12611354,,,,,,,,,,,
AKAZE,BRIEF,,14.5519,,,,,,,,,,,
AKAZE,BRIEF,,18.5858,,,,,,,,,,,
AKAZE,BRIEF,,15.1239,,,,,,,,,,,
AKAZE,BRIEF,,15.9317,,,,,,,,,,,
AKAZE,BRIEF,,15.6563,,,,,,,,,,,
AKAZE,BRIEF,,17.4948,,,,,,,,,,,
AKAZE,BRIEF,,18.274,,,,,,,,,,,
AKAZE,BRIEF,,14.9103,,,,,,,,,,,
AKAZE,BRIEF,,20.7168,,,,,,,,,,,
AKAZE,BRIEF,,15.1258,,,,,,,,,,,
AKAZE,BRIEF,,12.8309,,,,,,,,,,,
AKAZE,BRIEF,,13.1193,,,,,,,,,,,
AKAZE,BRIEF,,10.7943,,,,,,,,,,,
AKAZE,BRIEF,,10.7645,,,,,,,,,,,
AKAZE,BRIEF,,11.0517,,,,,,,,,,,
AKAZE,BRIEF,,10.7926,,,,,,,,,,,
AKAZE,BRIEF,,9.54166,,,,,,,,,,,
AKAZE,BRIEF,,9.41014,,,,,,,,,,,
------------------------------------------------,,14.14868889,11.12807207,,,,,,,,,,,
AKAZE,FREAK,,12.4997,,,,,,,,,,,
AKAZE,FREAK,,15.759,,,,,,,,,,,
AKAZE,FREAK,,15.0902,,,,,,,,,,,
AKAZE,FREAK,,13.9356,,,,,,,,,,,
AKAZE,FREAK,,16.7929,,,,,,,,,,,
AKAZE,FREAK,,19.118,,,,,,,,,,,
AKAZE,FREAK,,19.1238,,,,,,,,,,,
AKAZE,FREAK,,16.1605,,,,,,,,,,,
AKAZE,FREAK,,20.5554,,,,,,,,,,,
AKAZE,FREAK,,12.0294,,,,,,,,,,,
AKAZE,FREAK,,14.4844,,,,,,,,,,,
AKAZE,FREAK,,14.5307,,,,,,,,,,,
AKAZE,FREAK,,12.3613,,,,,,,,,,,
AKAZE,FREAK,,11.3418,,,,,,,,,,,
AKAZE,FREAK,,13.1551,,,,,,,,,,,
AKAZE,FREAK,,10.8672,,,,,,,,,,,
AKAZE,FREAK,,9.15012,,,,,,,,,,,
AKAZE,FREAK,,9.07368,,,,,,,,,,,
------------------------------------------------,,14.22382222,10.94080421,,,,,,,,,,,
AKAZE,AKAZE,,12.8767,,,,,,,,,,,
AKAZE,AKAZE,,16.9396,,,,,,,,,,,
AKAZE,AKAZE,,14.4571,,,,,,,,,,,
AKAZE,AKAZE,,16.3593,,,,,,,,,,,
AKAZE,AKAZE,,16.8012,,,,,,,,,,,
AKAZE,AKAZE,,17.1893,,,,,,,,,,,
AKAZE,AKAZE,,15.6164,,,,,,,,,,,
AKAZE,AKAZE,,15.3827,,,,,,,,,,,
AKAZE,AKAZE,,17.0137,,,,,,,,,,,
AKAZE,AKAZE,,13.1756,,,,,,,,,,,
AKAZE,AKAZE,,12.3289,,,,,,,,,,,
AKAZE,AKAZE,,11.2456,,,,,,,,,,,
AKAZE,AKAZE,,12.4478,,,,,,,,,,,
AKAZE,AKAZE,,11.8424,,,,,,,,,,,
AKAZE,AKAZE,,11.0872,,,,,,,,,,,
AKAZE,AKAZE,,10.63,,,,,,,,,,,
AKAZE,AKAZE,,9.22986,,,,,,,,,,,
AKAZE,AKAZE,,9.10702,,,,,,,,,,,
------------------------------------------------,,13.54057667,7.539098159,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
